Workspace,Item kind,Item name,CU (s),Duration (s),Users,Item size (GB),Billing type
CSV to CSV,Dataset,azcopy_1b_1,8.0320,3.8140,2,0.0009,Billable
CSV to CSV,Lakehouse,azcopy_1b_1,"13,396.8654",2.0390,1,,Billable
CSV to CSV,Warehouse,azcopy_1b_1,64.8720,31.0720,1,,Billable
CSV to CSV,Dataset,azcopy_1b_2,8.2720,8.2040,2,0.0009,Billable
CSV to CSV,Lakehouse,azcopy_1b_2,"13,369.9646",1.9580,1,,Billable
CSV to CSV,Warehouse,azcopy_1b_2,42.8680,20.8830,1,,Billable
CSV to CSV,Dataset,azcopy_1b_3,9.0240,2.3920,2,0.0009,Billable
CSV to CSV,Lakehouse,azcopy_1b_3,"13,389.1750",1.9770,1,,Billable
CSV to CSV,Warehouse,azcopy_1b_3,43.0720,21.1850,1,,Billable
CSV to CSV,Dataset,browser_1b_1,8.2720,7.6890,2,0.0009,Billable
CSV to CSV,Lakehouse,browser_1b_1,"52,976.7142",0.8620,1,,Billable
CSV to CSV,Warehouse,browser_1b_1,38.9360,17.9040,1,,Billable
CSV to CSV,Dataset,browser_1b_2,6.2560,8.3130,1,0.0009,Billable
CSV to CSV,Lakehouse,browser_1b_2,148.5514,0.7610,1,,Billable
CSV to CSV,Warehouse,browser_1b_2,22.8720,10.6790,1,,Billable
CSV to CSV,Dataset,browser_1b_3,8.5440,8.6130,2,0.0009,Billable
CSV to CSV,Lakehouse,browser_1b_3,148.5514,0.7570,1,,Billable
CSV to CSV,Warehouse,browser_1b_3,14.4840,7.1870,1,,Billable
CSV to CSV,Dataset,explorer_1b_1,7.0400,4.8140,2,0.0009,Billable
CSV to CSV,Lakehouse,explorer_1b_1,"13,405.6364",1.4060,1,,Billable
CSV to CSV,Warehouse,explorer_1b_1,13.7520,6.7050,1,,Billable
CSV to CSV,Dataset,explorer_1b_2,6.7840,8.4800,1,0.0009,Billable
CSV to CSV,Lakehouse,explorer_1b_2,152.6226,0.7650,1,,Billable
CSV to CSV,Warehouse,explorer_1b_2,15.7320,7.0270,1,,Billable
CSV to CSV,Dataset,explorer_1b_3,6.7680,8.0330,2,0.0009,Billable
CSV to CSV,Lakehouse,explorer_1b_3,152.6226,0.7720,1,,Billable
CSV to CSV,Warehouse,explorer_1b_3,19.5840,11.6900,1,,Billable
CSV to CSV,Dataset,fastcp_1b_1,6.0160,2.0630,2,0.0009,Billable
CSV to CSV,Lakehouse,fastcp_1b_1,"6,730.7916",0.8110,1,,Billable
CSV to CSV,SynapseNotebook,fastcp_1b_1,"2,724.3460",251.0750,1,,Billable
CSV to CSV,Warehouse,fastcp_1b_1,7.2160,2.9670,1,,Billable
CSV to CSV,Dataset,fastcp_1b_2,5.7600,8.3140,2,0.0009,Billable
CSV to CSV,Lakehouse,fastcp_1b_2,"6,709.2366",0.7150,1,,Billable
